name,brand,price,old_price
"Huawei P50 Pocket, 8GB, 256 GB, LTE,  White",Huawei,6499.9,
"Huawei P50 Pro, 8GB, 256 GB, LTE, Cocoa Gold",Huawei,5499.9,
"Huawei P50 Pro, 8GB, 256 GB, LTE, Golden Black",Huawei,5499.9,
"Casti On-ear JBL Tune 510BT, Bluetooth, Microfon,  pana la 40 de ore de functionare, Roz",JBL,229.9,"259,90"
"Acumulator extern Hama Supreme 24HD, 24000 mAh, Negru",Hama,179.9,
"Acumulator extern Hama Supreme 10HD, 10000 mAh, Negru",Hama,99.9,
Baterie externa portabila Logic G102 20000mAh,Logic,89.9,
"Baterie externa portabila Logic G101, 10000 mAh",Logic,69.9,
"Telefon mobil Allview M10 Jump, Dual SIM, 3G, Black",Allview,219.9,"249,90"
"Telefon mobil Allview H4 Join, Dual SIM, Black",Allview,149.9,"169,90"
"Smartphone Apple iPhone 13 mini 128GB, Midnight",Apple,4049.9,
"Telefon mobil Xiaomi Mi 11 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Truffle Black",Xiaomi,1999.9,
"Casti in-ear Samsung EO-IA500BBEGWW, Black",Samsung,37.9,
"Casti TW Huawei Freebuds Lipstick, Rosu",Huawei,1099.9,
"Bratara fitness Amazfit Band 5, SpO2, sensor Orange ",,109.9,"110,90"
"Smartwatch Amazfit T-Rex, Green",Amazfit,499.9,
Smartwatch Amazfit GTS Orange,Amazfit,399.9,
"Smartwatch Amazfit GTS, Blue",Amazfit,439.9,
"Smartwatch Amazfit GTR-47mm, Steel",Amazfit,419.9,"449,90"
"Smartwatch Amazfit GTR-42mm, Black",Amazfit,389.9,"429,90"
"Casti bluetooth Logic TWS1, Bluetooth 5.1, Negru",Logic,69.9,"99,90"
"Casti Jabra Elite 2, Bluetooth, Bleumarin",Jabra,229.9,"290,90"
"Casti Jabra Elite 2 Bluetooth, Gri",Jabra,229.9,"290,90"
"Smartwatch Huawei GT 3 Milo-B19v,  Light Gold/ Milanese Strap",Huawei,1399.9,
"Smartwatch Huawei GT 3 Milo-B19T,  Light Gold/ White Leather Strap",Huawei,1199.9,
"Smartwatch Huawei GT 3 Jupiter-B19T, Stainless Steel / Stainless Steel Strap",Huawei,1499.9,
"Smartwatch Huawei Watch GT 3 Jupiter-B19S, Black / Black Fluor elastomer Strap",Huawei,1199.9,
"Incarcator  auto Poss PSCACPD20BK, 20 W, Type C, Negru",Poss,19.9,
"Incarcator retea Poss PSWCPD20WH, 20W, Type C, Alb",Poss,29.9,
"Telefon mobil Realme C11, Dual SIM, 32GB, 4G, Albastru",Realme,599.9,
"Telefon mobil Realme C11, Dual SIM, 32GB, 4G, Gri",Realme,599.9,
